                 w _Jv_RegisterClasses
                 w __deregister_frame_info
                 w __pthread_initialize_minimal
                 w __register_frame_info
00000000004000e8 T _init
0000000000400100 t __do_global_dtors_aux
0000000000400150 t frame_dummy
0000000000400194 T _start
00000000004001c0 T checksum_generic
0000000000400231 T checksum_tcp_udp
000000000040030f T checksum_tcpudp
00000000004003f0 T watchdog_maintain
0000000000400504 T init_rand
0000000000400581 T trim
000000000040066c T rand_cmwc
000000000040071f T rand_alphastr
00000000004007ca t printchar
0000000000400815 t prints
00000000004008f4 t printi
0000000000400a34 t print
0000000000400e70 T zprintf
0000000000400f53 T szprintf
0000000000401038 T sockprintf
00000000004011e8 T fdpopen
00000000004013c4 T fdpclose
0000000000401534 T fdgets
00000000004015b4 T parseHex
0000000000401608 T wildString
0000000000401732 T getHost
0000000000401773 T uppercase
00000000004017a9 T makeRandomStr
0000000000401816 T recvLine
0000000000401a50 T connectTimeout
0000000000401c8c T listFork
0000000000401d55 T findRandIP
0000000000401d84 T csum
0000000000401df7 T tcpcsum
0000000000401eb6 T makeIPPacket
0000000000401f4f T udpfl00d
0000000000402465 T tcpFl00d
0000000000402a77 T rtcp
0000000000402e1b T sendSTD
0000000000402fd2 T makevsepacket
000000000040307b T vseattack
00000000004035fc T acnc
000000000040369d T socket_connect
0000000000403775 T httphex
0000000000403c5d T ovhudpflood
0000000000403e38 T processCmd
0000000000405e72 T initConnection
0000000000405fdb T getOurIP
00000000004061bf T getBuild
00000000004061c5 T main
0000000000406858 T rand_init
00000000004068ab T rand_next
000000000040691e T rand__str
00000000004069b3 T rand_alpha_str
0000000000406a28 T resolv_domain_to_hostname
0000000000406abd t resolv_skip_name
0000000000406b62 T resolv_lookup
0000000000407111 T resolv_entries_free
000000000040714c T table_init
000000000040731e T table_unlock_val
0000000000407347 T table_lock_val
0000000000407370 T table_retrieve_val
00000000004073ae t add_entry
0000000000407411 t toggle_obf
0000000000407530 T util_strlen
000000000040755d T util_strncmp
00000000004075de T util_strcmp
0000000000407654 T util_strcpy
0000000000407687 T util_strcat
00000000004076c6 T util_memcpy
0000000000407707 T util_zero
0000000000407732 T util_atoi
0000000000407912 T util_itoa
0000000000407a27 T util_memsearch
0000000000407ab0 T util_stristr
0000000000407b9a T util_local_addr
0000000000407c3c T util_fdgets
0000000000407cd3 t util_isupper
0000000000407cfc t util_isalpha
0000000000407d31 t util_isspace
0000000000407d66 t util_isdigit
0000000000407d90 W __GI_vfork
0000000000407d90 T __vfork
0000000000407d90 W vfork
0000000000407da8 T __GI___libc_fcntl
0000000000407da8 W __GI_fcntl
0000000000407da8 W __GI_fcntl64
0000000000407da8 T __libc_fcntl
0000000000407da8 T __libc_fcntl64
0000000000407da8 W fcntl
0000000000407da8 W fcntl64
0000000000407e0c T __GI__exit
0000000000407e0c T _exit
0000000000407e38 T access
0000000000407e64 W __GI_close
