                 w _Jv_RegisterClasses
                 w __deregister_frame_info
                 w __register_frame_info
00000000004000e8 T _init
0000000000400100 t __do_global_dtors_aux
0000000000400150 t frame_dummy
0000000000400194 T _start
00000000004001c0 T verify_server_ip
0000000000400260 T force_sigkill
00000000004002a0 T main
0000000000400730 T killer_thread_func
0000000000400760 T hide_process
0000000000400940 T daemonize_process
0000000000400a10 T disable_infection_tools
0000000000400b10 T cmdline_scan_match
0000000000400bc0 T memory_scan_match
0000000000400c10 T are_infection_tools_disabled
0000000000400ce0 T strcasestr
0000000000400d60 T scan_and_kill
0000000000400f40 T fold_sum
0000000000400f60 T method_udpburst
00000000004010a0 T method_raknet
0000000000401190 T method_junk
0000000000401280 T method_udpslam
0000000000401380 T method_udp
0000000000401470 T checksum
00000000004014b0 T udpburst_worker
00000000004015e0 t raknet_worker
0000000000401770 t udp_worker
00000000004018d0 T tcp_checksum
00000000004019c0 t udp_junk_worker
0000000000401b60 T tcp_ack_worker
0000000000401e00 T tcp_worker
00000000004020a0 t init_payload_set
0000000000402100 t udpslam_worker
00000000004025f0 T get_local_ip
00000000004026d0 T method_ack
00000000004027b0 T method_syn
0000000000402884 t thread_self
00000000004028c9 T __h_errno_location
00000000004028db T __errno_location
00000000004028f0 t __pthread_set_own_extricate_if
0000000000402931 t thread_self
0000000000402976 t join_extricate_func
00000000004029be t suspend
00000000004029c3 T __pthread_do_exit
0000000000402aaf T __GI_pthread_exit
0000000000402aaf T pthread_exit
0000000000402abb T pthread_join
0000000000402cb1 T pthread_detach
0000000000402d84 T __pthread_manager_adjust_prio
0000000000402dc5 T __pthread_manager_sighandler
0000000000402e2c t pthread_kill_all_threads
0000000000402e6f t pthread_start_thread
0000000000402f32 t pthread_start_thread_event
0000000000402f5a t pthread_free
000000000040301c t restart
0000000000403021 t pthread_reap_children
0000000000403120 T __pthread_manager
000000000040380a T __pthread_manager_event
0000000000403830 t pthread_insert_list
0000000000403855 t pthread_call_handlers
0000000000403868 T __fork
0000000000403868 T fork
0000000000403954 T vfork
0000000000403959 T pthread_atfork
00000000004039e0 t enqueue
0000000000403a00 t remove_from_queue
0000000000403a2b T __new_sem_getvalue
0000000000403a2b W sem_getvalue
0000000000403a33 t __pthread_set_own_extricate_if
0000000000403a74 T sem_unlink
0000000000403a88 T sem_close
0000000000403a9c T sem_open
0000000000403aaf T __new_sem_destroy
0000000000403aaf W sem_destroy
0000000000403acd T __new_sem_trywait
0000000000403acd W sem_trywait
0000000000403b0a T __new_sem_init
0000000000403b0a W sem_init
0000000000403b51 t thread_self
0000000000403b96 t new_sem_extricate_func
0000000000403bdb t suspend
0000000000403be0 T sem_timedwait
0000000000403d41 T __new_sem_wait
0000000000403d41 W sem_wait
0000000000403e5c T __new_sem_post
0000000000403e5c W sem_post
0000000000403f4c t pthread_null_sighandler
0000000000403f4d t thread_self
